TLAB,F05,F05,F07,F07,F15,F15,F17,F17
,Re,Im,Re,Im,Re,Im,Re,Im
0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
30,0,0,-0.0001,0,-0.0001,0,0,0
40,-0.0001,0,-0.0002,0,-0.0001,0,0,0
50,-0.0001,0,-0.0003,0,-0.0003,0,0.0001,0
60,-0.0002,0,-0.0005,0,-0.0004,0,0.0001,0
70,-0.0003,0,-0.0008,0,-0.0007,0,0.0002,0
80,-0.0003,0,-0.0011,0,-0.0009,0,0.0003,0
90,-0.0004,0,-0.0015,0,-0.0012,0,0.0003,0
100,-0.0005,0,-0.0019,0,-0.0016,0,0.0005,0
110,-0.0006,0,-0.0024,0,-0.002,0,0.0006,0
120,-0.0006,0,-0.0029,0,-0.0024,0,0.0007,0
130,-0.0006,0,-0.0035,0,-0.0029,0,0.0009,0
140,-0.0007,0,-0.0041,0,-0.0034,0,0.001,0
150,-0.0006,0,-0.0047,0,-0.004,0,0.0012,0
160,-0.0006,0,-0.0054,0,-0.0045,0,0.0014,0
170,-0.0005,0,-0.0061,0,-0.0051,0,0.0016,0
180,-0.0004,0,-0.0068,0,-0.0057,0,0.0018,0
190,-0.0003,0,-0.0075,0.0001,-0.0063,0,0.002,0
200,-0.0001,0,-0.0083,0.0001,-0.0069,0,0.0022,0
210,0.0001,0,-0.009,0.0001,-0.0076,0.0001,0.0025,0
220,0.0004,0,-0.0098,0.0001,-0.0082,0.0001,0.0027,0
230,0.0007,0,-0.0106,0.0001,-0.0088,0.0001,0.0029,0
240,0.001,0,-0.0113,0.0001,-0.0095,0.0001,0.0032,0
250,0.0014,0,-0.0121,0.0001,-0.0101,0.0001,0.0035,0
260,0.0018,0,-0.0129,0.0002,-0.0108,0.0001,0.0037,0
270,0.0023,0,-0.0137,0.0002,-0.0114,0.0001,0.004,0
280,0.0028,0,-0.0145,0.0002,-0.0121,0.0002,0.0043,0
290,0.0033,0,-0.0153,0.0002,-0.0127,0.0002,0.0046,0
300,0.0039,0,-0.0161,0.0003,-0.0134,0.0002,0.0049,0
310,0.0045,0,-0.0169,0.0003,-0.014,0.0002,0.0051,0
320,0.0052,0.0001,-0.0176,0.0003,-0.0147,0.0003,0.0054,0
330,0.0059,0.0001,-0.0184,0.0003,-0.0153,0.0003,0.0057,0
340,0.0067,0.0001,-0.0192,0.0004,-0.0159,0.0003,0.006,0
350,0.0075,0.0001,-0.02,0.0004,-0.0165,0.0004,0.0063,0
360,0.0084,0.0001,-0.0207,0.0004,-0.0171,0.0004,0.0066,0.0001
370,0.0093,0.0002,-0.0215,0.0005,-0.0177,0.0005,0.007,0.0001
380,0.0102,0.0002,-0.0222,0.0005,-0.0183,0.0006,0.0073,0.0001
390,0.0112,0.0002,-0.023,0.0005,-0.0188,0.0006,0.0076,0.0001
400,0.0123,0.0003,-0.0237,0.0006,-0.0194,0.0007,0.0079,0.0001
410,0.0134,0.0003,-0.0244,0.0006,-0.0199,0.0008,0.0082,0.0001
420,0.0145,0.0004,-0.0252,0.0006,-0.0204,0.0009,0.0085,0.0001
430,0.0157,0.0004,-0.0259,0.0007,-0.0209,0.001,0.0089,0.0001
440,0.0169,0.0005,-0.0266,0.0007,-0.0214,0.0011,0.0092,0.0001
450,0.0182,0.0006,-0.0273,0.0007,-0.0219,0.0012,0.0095,0.0001
460,0.0195,0.0007,-0.028,0.0008,-0.0224,0.0014,0.0098,0.0001
470,0.0209,0.0008,-0.0287,0.0008,-0.0229,0.0016,0.0102,0.0001
480,0.0223,0.0009,-0.0293,0.0009,-0.0233,0.0018,0.0105,0.0002
490,0.0238,0.001,-0.03,0.0009,-0.0238,0.002,0.0108,0.0002
500,0.0253,0.0011,-0.0307,0.0009,-0.0242,0.0022,0.0112,0.0002
510,0.0269,0.0012,-0.0313,0.001,-0.0247,0.0024,0.0115,0.0002
520,0.0285,0.0014,-0.032,0.001,-0.0251,0.0027,0.0118,0.0002
530,0.0302,0.0016,-0.0326,0.0011,-0.0255,0.003,0.0122,0.0002
540,0.032,0.0018,-0.0332,0.0011,-0.026,0.0033,0.0125,0.0003
550,0.0338,0.002,-0.0338,0.0011,-0.0264,0.0036,0.0129,0.0003
560,0.0357,0.0022,-0.0345,0.0012,-0.0269,0.0039,0.0132,0.0003
570,0.0376,0.0024,-0.0351,0.0012,-0.0273,0.0042,0.0135,0.0003
580,0.0396,0.0027,-0.0357,0.0013,-0.0278,0.0046,0.0139,0.0003
590,0.0416,0.003,-0.0363,0.0013,-0.0282,0.005,0.0142,0.0004
600,0.0437,0.0033,-0.0368,0.0014,-0.0287,0.0053,0.0146,0.0004
610,0.0459,0.0037,-0.0374,0.0014,-0.0292,0.0057,0.0149,0.0004
620,0.0482,0.0041,-0.038,0.0014,-0.0296,0.0061,0.0152,0.0004
630,0.0505,0.0045,-0.0386,0.0015,-0.0301,0.0065,0.0156,0.0005
640,0.0529,0.005,-0.0391,0.0015,-0.0306,0.0069,0.0159,0.0005
650,0.0553,0.0055,-0.0397,0.0016,-0.031,0.0073,0.0163,0.0005
660,0.0579,0.0061,-0.0402,0.0016,-0.0315,0.0078,0.0166,0.0006
670,0.0605,0.0068,-0.0407,0.0017,-0.032,0.0082,0.017,0.0006
680,0.0632,0.0075,-0.0413,0.0017,-0.0325,0.0086,0.0173,0.0006
690,0.066,0.0083,-0.0418,0.0017,-0.033,0.0091,0.0177,0.0007
700,0.0688,0.0093,-0.0423,0.0018,-0.0334,0.0095,0.018,0.0007
710,0.0717,0.0103,-0.0428,0.0018,-0.0339,0.01,0.0183,0.0007
720,0.0747,0.0114,-0.0433,0.0019,-0.0344,0.0105,0.0187,0.0008
730,0.0777,0.0127,-0.0438,0.0019,-0.0349,0.0109,0.019,0.0008
740,0.0807,0.014,-0.0443,0.002,-0.0354,0.0114,0.0194,0.0009
750,0.0837,0.0155,-0.0448,0.002,-0.0359,0.0119,0.0197,0.0009
760,0.0867,0.0171,-0.0453,0.0021,-0.0364,0.0124,0.0201,0.001
770,0.0897,0.0188,-0.0458,0.0021,-0.0369,0.0129,0.0204,0.001
780,0.0927,0.0206,-0.0462,0.0021,-0.0373,0.0134,0.0208,0.0011
790,0.0958,0.0225,-0.0467,0.0022,-0.0378,0.0139,0.0211,0.0011
800,0.0988,0.0245,-0.0471,0.0022,-0.0383,0.0145,0.0215,0.0012
810,0.1018,0.0266,-0.0476,0.0023,-0.0388,0.015,0.0218,0.0012
820,0.1047,0.0288,-0.048,0.0023,-0.0393,0.0155,0.0221,0.0013
830,0.1077,0.0311,-0.0485,0.0024,-0.0398,0.0161,0.0225,0.0014
840,0.1106,0.0335,-0.0489,0.0024,-0.0403,0.0166,0.0228,0.0014
850,0.1135,0.0359,-0.0494,0.0024,-0.0408,0.0172,0.0232,0.0015
860,0.1163,0.0385,-0.0498,0.0025,-0.0413,0.0177,0.0235,0.0015
870,0.1192,0.0411,-0.0502,0.0025,-0.0417,0.0183,0.0238,0.0016
880,0.1219,0.0439,-0.0506,0.0026,-0.0422,0.0189,0.0242,0.0017
890,0.1247,0.0467,-0.051,0.0026,-0.0427,0.0195,0.0245,0.0018
900,0.1274,0.0496,-0.0514,0.0027,-0.0432,0.0201,0.0249,0.0018
910,0.13,0.0525,-0.0518,0.0027,-0.0437,0.0207,0.0252,0.0019
920,0.1326,0.0556,-0.0522,0.0027,-0.0442,0.0213,0.0255,0.002
930,0.1352,0.0587,-0.0526,0.0028,-0.0446,0.0219,0.0259,0.002
940,0.1377,0.0618,-0.053,0.0028,-0.0451,0.0225,0.0262,0.0021
950,0.1401,0.0651,-0.0534,0.0029,-0.0456,0.0231,0.0265,0.0022
960,0.1425,0.0684,-0.0538,0.0029,-0.0461,0.0238,0.0269,0.0023
970,0.1449,0.0717,-0.0542,0.0029,-0.0466,0.0244,0.0272,0.0024
980,0.1472,0.0752,-0.0546,0.003,-0.047,0.0251,0.0276,0.0025
990,0.1494,0.0786,-0.0549,0.003,-0.0475,0.0257,0.0279,0.0025
1000,0.1515,0.0822,-0.0553,0.0031,-0.048,0.0264,0.0282,0.0026
1010,0.1536,0.0857,-0.0556,0.0031,-0.0484,0.0271,0.0285,0.0027
1020,0.1557,0.0893,-0.056,0.0031,-0.0489,0.0278,0.0289,0.0028
1030,0.1576,0.093,-0.0564,0.0032,-0.0494,0.0285,0.0292,0.0029
1040,0.1596,0.0967,-0.0567,0.0032,-0.0499,0.0292,0.0295,0.003
1050,0.1614,0.1005,-0.0571,0.0033,-0.0503,0.0299,0.0299,0.0031
1060,0.1632,0.1042,-0.0574,0.0033,-0.0508,0.0306,0.0302,0.0032
1070,0.1649,0.1081,-0.0577,0.0033,-0.0512,0.0313,0.0305,0.0033
1080,0.1666,0.1119,-0.0581,0.0034,-0.0517,0.032,0.0308,0.0034
1090,0.1682,0.1158,-0.0584,0.0034,-0.0522,0.0328,0.0312,0.0035
1100,0.1697,0.1197,-0.0587,0.0035,-0.0526,0.0335,0.0315,0.0036
1110,0.1712,0.1236,-0.0591,0.0035,-0.0531,0.0343,0.0318,0.0037
1120,0.1726,0.1276,-0.0594,0.0035,-0.0535,0.0351,0.0321,0.0038
1130,0.1739,0.1316,-0.0597,0.0036,-0.054,0.0358,0.0325,0.0039
1140,0.1752,0.1356,-0.06,0.0036,-0.0544,0.0366,0.0328,0.004
1150,0.1764,0.1396,-0.0603,0.0037,-0.0549,0.0374,0.0331,0.0041
1160,0.1775,0.1436,-0.0606,0.0037,-0.0553,0.0382,0.0334,0.0043
1170,0.1786,0.1476,-0.0609,0.0037,-0.0558,0.039,0.0337,0.0044
1180,0.1796,0.1517,-0.0612,0.0038,-0.0562,0.0399,0.034,0.0045
1190,0.1806,0.1557,-0.0615,0.0038,-0.0567,0.0407,0.0344,0.0046
1200,0.1815,0.1598,-0.0618,0.0038,-0.0571,0.0415,0.0347,0.0047
1210,0.1823,0.1638,-0.0621,0.0039,-0.0575,0.0424,0.035,0.0049
1220,0.1831,0.1679,-0.0624,0.0039,-0.058,0.0432,0.0353,0.005
1230,0.1838,0.172,-0.0627,0.0039,-0.0584,0.0441,0.0356,0.0051
1240,0.1845,0.176,-0.063,0.004,-0.0588,0.0449,0.0359,0.0052
1250,0.1851,0.1801,-0.0633,0.004,-0.0593,0.0458,0.0362,0.0054
1260,0.1857,0.1842,-0.0636,0.0041,-0.0597,0.0467,0.0365,0.0055
1270,0.1862,0.1882,-0.0638,0.0041,-0.0601,0.0476,0.0368,0.0056
1280,0.1866,0.1923,-0.0641,0.0041,-0.0605,0.0485,0.0371,0.0058
1290,0.187,0.1963,-0.0644,0.0042,-0.061,0.0494,0.0374,0.0059
1300,0.1873,0.2003,-0.0647,0.0042,-0.0614,0.0504,0.0377,0.006
1310,0.1876,0.2044,-0.0649,0.0042,-0.0618,0.0513,0.038,0.0062
1320,0.1879,0.2084,-0.0652,0.0043,-0.0622,0.0522,0.0383,0.0063
1330,0.1881,0.2124,-0.0655,0.0043,-0.0626,0.0532,0.0386,0.0064
1340,0.1882,0.2164,-0.0657,0.0043,-0.063,0.0541,0.0389,0.0066
1350,0.1883,0.2203,-0.066,0.0044,-0.0634,0.0551,0.0392,0.0067
1360,0.1884,0.2243,-0.0662,0.0044,-0.0638,0.0561,0.0395,0.0069
1370,0.1884,0.2282,-0.0665,0.0044,-0.0642,0.0571,0.0398,0.007
1380,0.1884,0.2322,-0.0667,0.0045,-0.0646,0.0581,0.0401,0.0072
1390,0.1883,0.2361,-0.067,0.0045,-0.065,0.0591,0.0404,0.0073
1400,0.1882,0.2399,-0.0672,0.0045,-0.0653,0.0601,0.0407,0.0075
1410,0.188,0.2438,-0.0675,0.0046,-0.0657,0.0611,0.041,0.0076
1420,0.1879,0.2477,-0.0677,0.0046,-0.0661,0.0621,0.0413,0.0078
1430,0.1876,0.2515,-0.068,0.0046,-0.0665,0.0632,0.0416,0.0079
1440,0.1874,0.2553,-0.0682,0.0047,-0.0668,0.0642,0.0419,0.0081
