TLAB,H09,H09,H011,H011,H19,H19,H111,H111
,Re,Im,Re,Im,Re,Im,Re,Im
0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
90,0,0,0,0,-0.0001,0,0,0
100,0,0,0,0,-0.0001,0,0,0
110,0,0,0,0,-0.0001,0,0,0
120,0,0,0,0,-0.0002,0,0,0
130,0,0,0,0,-0.0002,0,0.0001,0
140,0,0,0,0,-0.0003,0,0.0001,0
150,0,0,0,0,-0.0004,0,0.0001,0
160,0,0,0,0,-0.0005,0,0.0001,0
170,0,0,0,0,-0.0006,0,0.0001,0
180,0,0,0,0,-0.0007,0,0.0002,0
190,0,0,0,0,-0.0008,0,0.0002,0
200,0,0,0,0,-0.001,0,0.0002,0
210,0,0,0,0,-0.0011,0,0.0003,0
220,0,0,0,0,-0.0013,0,0.0003,0
230,0,0,0,0,-0.0014,0,0.0003,0
240,0,0,0,0,-0.0016,0,0.0004,0
250,0,0,0,0,-0.0018,0,0.0004,0
260,0,0,0,0,-0.002,0,0.0005,0
270,0,0,0,0,-0.0022,0,0.0005,0
280,0,0,0,0,-0.0024,0,0.0006,0
290,0,0,0,0,-0.0026,0,0.0006,0
300,0,0,0,0,-0.0028,0,0.0007,0
310,0,0,0,0,-0.003,0,0.0007,0
320,0,0,0,0,-0.0032,0,0.0008,0
330,0,0,0,0,-0.0034,0,0.0008,0
340,0,0,0,0,-0.0037,0,0.0009,0
350,0,0,0,0,-0.0039,0,0.0009,0
360,0,0,0,0,-0.0041,0,0.001,0
370,0,0,0,0,-0.0044,0,0.001,0
380,0,0,0,0,-0.0046,0,0.0011,0
390,0,0,0,0,-0.0048,0,0.0012,0
400,0,0,0,0,-0.0051,0,0.0012,0
410,0,0,0,0,-0.0053,0,0.0013,0
420,0,0,0,0,-0.0056,0.0001,0.0013,0
430,0,0,0,0,-0.0058,0.0001,0.0014,0
440,0,0,0,0,-0.0061,0.0001,0.0015,0
450,0,0,0,0,-0.0063,0.0001,0.0015,0
460,0,0,0,0,-0.0066,0.0001,0.0016,0
470,0,0,0,0,-0.0068,0.0001,0.0016,0
480,0,0,0,0,-0.007,0.0001,0.0017,0
490,0,0,0,0,-0.0073,0.0001,0.0018,0
500,0,0,0,0,-0.0075,0.0001,0.0018,0
510,0,0,0,0,-0.0078,0.0001,0.0019,0
520,0,0,0,0,-0.008,0.0002,0.002,0
530,0,0,0,0,-0.0083,0.0002,0.002,0
540,0,0,0,0,-0.0085,0.0002,0.0021,0
550,0,0,0,0,-0.0087,0.0002,0.0021,0
560,0,0,0,0,-0.009,0.0002,0.0022,0
570,0,0,0,0,-0.0092,0.0002,0.0023,0
580,0,0,0,0,-0.0094,0.0003,0.0023,0
590,0,0,0,0,-0.0097,0.0003,0.0024,0
600,0,0,0,0,-0.0099,0.0003,0.0024,0
610,0,0,0,0,-0.0101,0.0003,0.0025,0
620,0,0,0,0,-0.0103,0.0004,0.0026,0
630,0,0,0,0,-0.0106,0.0004,0.0026,0
640,0,0,0,0,-0.0108,0.0004,0.0027,0
650,0,0,0,0,-0.011,0.0005,0.0027,0
660,0,0,0,0,-0.0112,0.0005,0.0028,0
670,0,0,0,0,-0.0114,0.0005,0.0029,0
680,0,0,0,0,-0.0116,0.0006,0.0029,0
690,0,0,0,0,-0.0118,0.0006,0.003,0
700,0,0,0,0,-0.0121,0.0007,0.003,0
710,0,0,0,0,-0.0123,0.0007,0.0031,0
720,0,0,0,0,-0.0125,0.0008,0.0032,0
730,0,0,0,0,-0.0127,0.0008,0.0032,0
740,0,0,0,0,-0.0129,0.0009,0.0033,0
750,0,0,0,0,-0.013,0.0009,0.0033,0
760,0,0,0,0,-0.0132,0.001,0.0034,0
770,0,0,0,0,-0.0134,0.001,0.0034,0
780,0,0,0,0,-0.0136,0.0011,0.0035,0
790,0,0,0,0,-0.0138,0.0012,0.0036,0
800,0,0,0,0,-0.014,0.0012,0.0036,0
810,0,0,0,0,-0.0142,0.0013,0.0037,0
820,0,0,0,0,-0.0143,0.0014,0.0037,0
830,0,0,0,0,-0.0145,0.0014,0.0038,0
840,0,0,0,0,-0.0147,0.0015,0.0038,0
850,0,0,0,0,-0.0148,0.0016,0.0039,0
860,0,0,0,0,-0.015,0.0017,0.0039,0
870,0,0,0,0,-0.0152,0.0018,0.004,0
880,0,0,0,0,-0.0153,0.0019,0.004,0
890,0,0,0,0,-0.0155,0.0019,0.0041,0
900,0,0,0,0,-0.0157,0.002,0.0041,0
910,0,0,0,0,-0.0158,0.0021,0.0042,0
920,0,0,0,0,-0.016,0.0022,0.0042,0
930,0,0,0,0,-0.0161,0.0023,0.0043,0.0001
940,0,0,0,0,-0.0163,0.0024,0.0043,0.0001
950,0,0,0,0,-0.0164,0.0026,0.0044,0.0001
960,0,0,0,0,-0.0166,0.0027,0.0044,0.0001
970,0,0,0,0,-0.0167,0.0028,0.0045,0.0001
980,0,0,0,0,-0.0169,0.0029,0.0045,0.0001
990,0,0,0,0,-0.017,0.003,0.0046,0.0001
1000,0,0,0,0,-0.0171,0.0031,0.0046,0.0001
1010,0,0,0,0,-0.0173,0.0033,0.0047,0.0001
1020,0,0,0,0,-0.0174,0.0034,0.0047,0.0001
1030,0,0,0,0,-0.0175,0.0035,0.0048,0.0001
1040,0,0,0,0,-0.0177,0.0037,0.0048,0.0001
1050,0,0,0,0,-0.0178,0.0038,0.0049,0.0001
1060,0,0,0,0,-0.0179,0.0039,0.0049,0.0001
1070,0,0,0,0,-0.0181,0.0041,0.005,0.0001
1080,0,0,0,0,-0.0182,0.0042,0.005,0.0001
1090,0,0,0,0,-0.0183,0.0044,0.0051,0.0001
1100,0,0,0,0,-0.0184,0.0045,0.0051,0.0001
1110,0,0,0,0,-0.0186,0.0047,0.0051,0.0001
1120,0,0,0,0,-0.0187,0.0048,0.0052,0.0001
1130,0,0,0,0,-0.0188,0.005,0.0052,0.0001
1140,0,0,0,0,-0.0189,0.0052,0.0053,0.0001
1150,0,0,0,0,-0.019,0.0053,0.0053,0.0001
1160,0,0,0,0,-0.0191,0.0055,0.0054,0.0001
1170,0,0,0,0,-0.0192,0.0057,0.0054,0.0001
1180,0,0,0,0,-0.0194,0.0058,0.0055,0.0001
1190,0,0,0,0,-0.0195,0.006,0.0055,0.0001
1200,0,0,0,0,-0.0196,0.0062,0.0055,0.0001
1210,0,0,0,0,-0.0197,0.0064,0.0056,0.0001
1220,0,0,0,0,-0.0198,0.0066,0.0056,0.0001
1230,0,0,0,0,-0.0199,0.0068,0.0057,0.0001
1240,0,0,0,0,-0.02,0.007,0.0057,0.0001
1250,0,0,0,0,-0.0201,0.0072,0.0057,0.0001
1260,0,0,0,0,-0.0202,0.0074,0.0058,0.0002
1270,0,0,0,0,-0.0203,0.0076,0.0058,0.0002
1280,0,0,0,0,-0.0204,0.0078,0.0059,0.0002
1290,0,0,0,0,-0.0205,0.008,0.0059,0.0002
1300,0,0,0,0,-0.0206,0.0082,0.0059,0.0002
1310,0,0,0,0,-0.0207,0.0084,0.006,0.0002
1320,0,0,0,0,-0.0208,0.0086,0.006,0.0002
1330,0,0,0,0,-0.0209,0.0089,0.0061,0.0002
1340,0,0,0,0,-0.021,0.0091,0.0061,0.0002
1350,0,0,0,0,-0.0211,0.0093,0.0061,0.0002
1360,0,0,0,0,-0.0212,0.0095,0.0062,0.0002
1370,0,0,0,0,-0.0213,0.0098,0.0062,0.0002
1380,0,0,0,0,-0.0213,0.01,0.0062,0.0002
1390,0,0,0,0,-0.0214,0.0102,0.0063,0.0002
1400,0,0,0,0,-0.0215,0.0105,0.0063,0.0002
1410,0,0,0,0,-0.0216,0.0107,0.0064,0.0002
1420,0,0,0,0,-0.0217,0.011,0.0064,0.0002
1430,0,0,0,0,-0.0218,0.0112,0.0064,0.0002
1440,0,0,0,0,-0.0219,0.0115,0.0065,0.0002
1450,0,0,0,0,-0.022,0.0117,0.0065,0.0002
1460,0,0,0,0,-0.022,0.012,0.0065,0.0003
1470,0,0,0,0,-0.0221,0.0123,0.0066,0.0003
1480,0,0,0,0,-0.0222,0.0125,0.0066,0.0003
1490,0,0,0,0,-0.0223,0.0128,0.0066,0.0003
1500,0,0,0,0,-0.0224,0.0131,0.0067,0.0003
